temperature,genotype,region,survival
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.200
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.150
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.200
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.150
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.150
36,CH_F_X_VTECK12_M,tropical.X.temperate,0.150
37,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
37,CH_F_X_VTECK12_M,tropical.X.temperate,0.450
37,CH_F_X_VTECK12_M,tropical.X.temperate,0.450
37,CH_F_X_VTECK12_M,tropical.X.temperate,0.500
37,CH_F_X_VTECK12_M,tropical.X.temperate,0.450
38,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
38,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
38,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
38,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
38,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
40,CH_F_X_VTECK12_M,tropical.X.temperate,0.000
28,VTECK12_F_X_CH_M,temperate.X.tropical,0.900
28,VTECK12_F_X_CH_M,temperate.X.tropical,0.800
28,VTECK12_F_X_CH_M,temperate.X.tropical,0.900
28,VTECK12_F_X_CH_M,temperate.X.tropical,0.750
28,VTECK12_F_X_CH_M,temperate.X.tropical,0.800
30,VTECK12_F_X_CH_M,temperate.X.tropical,0.850
30,VTECK12_F_X_CH_M,temperate.X.tropical,0.950
30,VTECK12_F_X_CH_M,temperate.X.tropical,0.900
30,VTECK12_F_X_CH_M,temperate.X.tropical,0.900
30,VTECK12_F_X_CH_M,temperate.X.tropical,0.950
32,VTECK12_F_X_CH_M,temperate.X.tropical,0.571
32,VTECK12_F_X_CH_M,temperate.X.tropical,0.600
32,VTECK12_F_X_CH_M,temperate.X.tropical,0.600
32,VTECK12_F_X_CH_M,temperate.X.tropical,0.600
32,VTECK12_F_X_CH_M,temperate.X.tropical,0.550
33,VTECK12_F_X_CH_M,temperate.X.tropical,0.833
33,VTECK12_F_X_CH_M,temperate.X.tropical,0.650
33,VTECK12_F_X_CH_M,temperate.X.tropical,0.650
33,VTECK12_F_X_CH_M,temperate.X.tropical,0.700
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.500
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.938
34,VTECK12_F_X_CH_M,temperate.X.tropical,1.000
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.800
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.750
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.850
34,VTECK12_F_X_CH_M,temperate.X.tropical,0.550
35,VTECK12_F_X_CH_M,temperate.X.tropical,0.600
35,VTECK12_F_X_CH_M,temperate.X.tropical,0.700
35,VTECK12_F_X_CH_M,temperate.X.tropical,0.500
35,VTECK12_F_X_CH_M,temperate.X.tropical,0.700
35,VTECK12_F_X_CH_M,temperate.X.tropical,0.800
36,VTECK12_F_X_CH_M,temperate.X.tropical,0.100
36,VTECK12_F_X_CH_M,temperate.X.tropical,0.300
36,VTECK12_F_X_CH_M,temperate.X.tropical,0.150
36,VTECK12_F_X_CH_M,temperate.X.tropical,0.200
36,VTECK12_F_X_CH_M,temperate.X.tropical,0.250
37,VTECK12_F_X_CH_M,temperate.X.tropical,0.350
37,VTECK12_F_X_CH_M,temperate.X.tropical,0.200
37,VTECK12_F_X_CH_M,temperate.X.tropical,0.350
37,VTECK12_F_X_CH_M,temperate.X.tropical,0.250
37,VTECK12_F_X_CH_M,temperate.X.tropical,0.100
38,VTECK12_F_X_CH_M,temperate.X.tropical,0.050
38,VTECK12_F_X_CH_M,temperate.X.tropical,0.100
38,VTECK12_F_X_CH_M,temperate.X.tropical,0.050
38,VTECK12_F_X_CH_M,temperate.X.tropical,0.100
38,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
40,VTECK12_F_X_CH_M,temperate.X.tropical,0.000
